"","animalN","name","DOB","species","breed","color","gender","licenseN","licenseStatus","statusDT","licenseType","licenseIssuer","licenseCost","licenseLength","expireD","renewal","rabiesVac","vacDate","reVacD","provider"
"14310","A19352036","Libby","3/6/2011","Dog","Retriever, Labrador","Black","Yes / Female","0664","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14313","A19550287","Sammy","7/8/2011","Dog","Poodle, Miniature","White","Yes / Female","10099","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14316","A19538230","Lola","2/1/2004","Dog","Bulldog, English","Tan / White","Yes / Female","0575","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14319","A16418035","Carly","3/10/2012","Dog","Shih Tzu / Poodle, Toy","Black / White","Yes / Female","4917","Expired","4/27/2016 1:00:00 AM","Dog License S/N","National Capital Area Spay and Neuter Center","$17.00","","6/30/2013","No","","","",""
"14322","A16613554","Jack","6/30/2010","Dog","Terrier, West Highland White / Mix","White","Yes / Male","5294","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"14325","A16614890","Mookie","7/1/2008","Dog","Terrier, Yorkshire","Silver / Tan","Yes / Male","5231","Inactive","5/13/2014 11:40:31 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"14328","A16875401","Ginger","8/2/2007","Dog","Bulldog, American / Mix","White / Brown","Yes / Female","4587","Expired","4/27/2016 1:00:00 AM","Dog License S/N","National Capital Area Spay and Neuter Center","$15.00","","6/30/2013","No","","","",""
"14331","A15571447","Spring","1/7/2012","Dog","Terrier / Retriever","Black / White","Yes / Male","5123","Inactive","3/27/2014 4:09:56 PM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","LIC Rabies","10/17/2013","10/17/2016",""
"14334","A17027086","Carl","8/21/2011","Dog","Terrier, American Staffordshire / Retriever, Labrador","White / Brown","Yes / Male","5303","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","VAC RABIES","9/3/2012","","Rachel Horne"
"14337","A16613553","Bobby","1/2/2012","Dog","Terrier, West Highland White / Mix","White","Yes / Male","5292","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","VAC RABIES","7/2/2012","","Jess Townsend"
"14340","A19403587","Sidney","","Dog","Terrier, Airedale / Mix","Red","Yes / Female","1032","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14343","A19403669","Akane","9/3/2005","Dog","Shiba Inu / Mix","Rust","Yes / Female","3090","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14346","A19381852","Keli","","Dog","Retriever, Labrador","Apricot","Yes / Female","11109","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14349","A19264146","Donald","3/1/2005","Dog","Terrier, Pit Bull / Retriever, Labrador","White / Tan","Yes / Male","4102","Cancelled (No longer owns)","6/20/2014 10:35:02 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14352","A24081989","Simone","10/14/2005","Dog","Poodle, Standard / Mix","Black","Yes / Female","10514","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14355","A19700860","Petey","1/6/2009","Dog","Retriever, Labrador","Black","Yes / Male","0095","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14358","A19700874","Jewell","4/21/2007","Dog","Retriever, Labrador / Mix","Yellow","Yes / Female","2948","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","LIC Rabies","7/15/2013","7/15/2016",""
"14361","A12863914","Anna","4/19/2010","Dog","Terrier, Pit Bull / Mix","Grey / White","Yes / Female","1436","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14364","A12641470","Leo","10/8/2010","Dog","Retriever, Labrador / Terrier, American Pit Bull","Yellow","Yes / Male","1484","Inactive","8/7/2014 1:07:45 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14367","A11755810","Bella","10/26/2001","Dog","Retriever, Labrador / Terrier, American Pit Bull","Brown","Yes / Female","0549","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14370","A14362347","Snowball","2/19/2007","Dog","Bichon Frise / Mix","White","Yes / Male","0594","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14373","A16542187","Butters","6/24/2011","Dog","Shepherd / Mix","Brown / Black","No / Unknown","1469","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/24/2014","No","","","",""
"14376","A17386340","Lucy","","Dog","Welsh Corgi, Pembroke","White / Tan","Yes / Female","1094","Inactive","12/15/2014 10:48:32 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","LIC Rabies","9/2/2014","9/2/2017",""
"14379","A19216814","Dutch","2/22/2012","Dog","Terrier / Mix","White / Black","Yes / Male","1287","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","LIC Rabies","7/23/2013","7/23/2016",""
"14382","A19352379","Rusty","","Dog","Australian Shepherd","Brown / White","Yes / Male","3249","Inactive","4/25/2014 3:33:13 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","LIC Rabies","3/19/2014","3/18/2017",""
"14385","A19238206","Eddie","8/8/2005","Dog","Spaniel, English Cocker","Brown / White","Yes / Male","4726","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","9/12/2013","9/12/2016",""
"14388","A19238267","KC","2/26/2008","Dog","Pomeranian","Brown / White","Yes / Female","3452","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","6/27/2013","6/26/2016",""
"14391","A19381273","Sander","1/10/2009","Dog","Terrier, Yorkshire / Mix","Red / Yellow","Yes / Male","0845","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14394","A19353508","Joplin","6/10/2007","Dog","Great Dane","Tan","Yes / Female","0878","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14397","A19356141","Lily","3/29/2006","Dog","Beagle","Black / Brown","Yes / Female","3375","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14400","A17463645","Shelby","4/15/2006","Dog","Retriever, Labrador / Mix","Cream / Tan","Yes / Female","5658","Cancelled (No longer owns)","7/1/2014 8:10:44 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14403","A17539183","Misty","","Dog","Terrier, West Highland White","White","Yes / Female","3543","Cancelled (Deceased)","8/8/2014 6:37:58 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14406","A17539049","Lupe","10/24/2009","Dog","Pug","Fawn","Yes / Male","10562","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14409","A17529859","Mo","10/23/2008","Dog","Basset Hound","Black / Brown","Yes / Male","3633","Cancelled (Left jurisdiction)","7/1/2014 8:18:11 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14412","A17540464","Schultze","5/27/2010","Dog","German Shepherd","Orange / Black","Yes / Male","0139","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14415","A18681358","Chance","","Dog","Terrier, West Highland White","White","Yes / Male","3030","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14418","A14578591","Sadie","11/27/2006","Dog","Retriever, Labrador / Mix","Black","Yes / Female","5104","Expired","11/27/2012 12:00:00 AM","Dog License S/N","DC","$15.00","","11/27/2012","No","VAC RABIES","11/27/2011","","Sarah Lewis"
"14421","A16781845","Princess","12/27/2009","Dog","Retriever, Labrador / Mix","Tan","No / Female","5495","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","VAC RABIES","7/27/2012","","Rachel Godbee"
"14424","A17383829","Steve","10/5/2010","Dog","Bernese Mountain Dog","Black / White","Yes / Male","0603","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14427","A17387641","Milo","7/10/2010","Dog","Shih Tzu / Mix","Brown / White","Yes / Male","3395","Inactive","4/12/2014 12:56:21 PM","Dog License S/N","DOH OS","$15.00","","6/30/2013","No","","","",""
"14430","A16865042","Que","8/1/2011","Dog","Retriever, Labrador / Mix","Red / Brown","Yes / Male","5438","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"14433","A17303660","Arrow","3/3/2012","Dog","Boxer","Black / White","Yes / Female","5314","Inactive","2/12/2014 10:48:49 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","","","",""
"14436","A19490923","Misa","","Dog","German Shepherd","Blond","Yes / Female","0669","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14439","A17210922","Santana","9/13/2002","Dog","Terrier, Pit Bull / Mix","White / Brown","No / Male","5693","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"14442","A17445130","Simba","10/11/2010","Dog","Retriever, Labrador / Hound","Black / White","Yes / Male","5353","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","","","",""
"14445","A17529380","Hobey","10/23/2011","Dog","Pug / Spaniel","Black / Tan","Yes / Male","3640","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14448","A17530079","Bootz","","Dog","Retriever, Labrador","Black","Yes / Male","3630","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14451","A17531033","Princess","10/23/2007","Dog","Retriever, Labrador","Black","Yes / Female","2461","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14454","A17532237","Ned","12/23/2011","Dog","Schnauzer, Miniature / Mix","Grey / Black","Yes / Male","3615","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14457","A17532856","Chester","10/23/2009","Dog","Terrier, Jack Russell","Black / Tan","Yes / Male","3620","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14460","A18662740","Zoe","10/1/2003","Dog","Rottweiler","Black / Tan","Yes / Female","1481","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14463","A18674863","Hendricks","","Dog","Shetland Sheepdog","Blond","Yes / Male","0288","Cancelled (No longer owns)","7/1/2014 8:04:13 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14466","A18686897","Roxy","12/8/2001","Dog","Retriever, Golden / Mix","Golden","Yes / Female","1059","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14469","A18773374","Stella Luna","12/5/2002","Dog","Retriever, Labrador","Black","Yes / Female","10245","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14472","A18708621","Ngaio","11/1/2009","Dog","German Shepherd / Retriever","Tan","Yes / Female","0099","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14475","A19038059","Nigel","1/28/2001","Dog","Pug","Black","Yes / Male","1019","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14478","A19003238","Nicolai","1/23/2004","Dog","German Shepherd","Brown / Tan","Yes / Male","1449","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14481","A17537736","Bear","10/24/2007","Dog","German Shepherd","Black","Yes / Male","3541","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14484","A17539321","Magruder","","Dog","Terrier","Grey","Yes / Male","3540","Inactive","7/25/2014 3:33:19 PM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14487","A17540708","Roscoe","7/1/2008","Dog","Retriever, Labrador / Chow Chow","Tan","Yes / Male","3526","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14490","A17541062","Lucy","10/24/2006","Dog","Retriever, Golden","Blond","Yes / Female","3572","Inactive","1/29/2014 11:53:13 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14493","A17545641","Che","10/25/2009","Dog","Poodle, Miniature / Mix","Beige / White","Yes / Male","5616","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","","","",""
"14496","A17546006","Walter Thomas","12/25/2011","Dog","Bulldog, English","White / Brindle","Yes / Male","3502","Inactive","4/5/2014 3:21:34 PM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14499","A17546173","Dempsey","6/22/2012","Dog","Spaniel / Mix","Black / Brown","Yes / Male","3504","Inactive","12/17/2013 11:49:06 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14502","A17969102","Champ","11/30/2006","Dog","Poodle, Standard","Black","Yes / Male","0843","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14505","A18015143","Zoey","5/21/2007","Dog","Border Collie / Mix","Black / White","Yes / Female","1580","Inactive","4/12/2014 1:23:19 PM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14508","A18662583","Max","10/1/2002","Dog","Rottweiler","Black / Tan","Yes / Male","3426","Inactive","7/23/2014 2:21:34 PM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14511","A18667831","Frankie","12/5/2011","Dog","Retriever, Labrador / Mix","Black / Tan","Yes / Male","0109","Inactive","4/12/2014 2:01:11 PM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14514","A18671658","Maggie","1/9/2006","Dog","Terrier, West Highland White","White","Yes / Female","0230","Inactive","1/27/2014 11:25:29 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14517","A18671693","Larry","","Dog","Shih Tzu","White / Blond","Yes / Male","0232","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14520","A18671858","Lady","10/11/2004","Dog","Rottweiler / Siberian Husky","Black / Tan","Yes / Female","0238","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14523","A18672229","Allie","","Dog","Terrier, West Highland White","White","Yes / Female","0246","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14526","A18672930","Boscoe","12/6/2010","Dog","Retriever, Labrador","Brown","Yes / Male","0266","Inactive","3/28/2014 11:37:37 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14529","A18673883","Jackson","5/18/2007","Dog","Xoloitzcuintli / Mix","Brown / Black","Yes / Male","0274","Inactive","2/10/2014 10:30:12 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","","","",""
"14532","A18679078","Tico","6/7/2008","Dog","Xoloitzcuintli / Mix","Black / White","Yes / Male","5884","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14535","A18679281","Sophie","12/7/2009","Dog","Terrier / Mix","Tan","Yes / Female","5883","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14538","A18681335","Murf","","Dog","Bichon Frise","White","Yes / Male","0469","Inactive","3/25/2014 11:05:10 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14541","A18681554","Sirius","5/20/2008","Dog","Border Collie","Black / White","Yes / Male","0483","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14544","A18816507","Barney","12/31/2004","Dog","Terrier / Mix","Brown","Yes / Male","3719","Inactive","8/15/2014 1:06:33 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14547","A18867780","Anita","1/8/2006","Dog","Border Collie / Chow Chow","Black / White","Yes / Female","3822","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14550","A18750874","Sophie","12/18/2011","Dog","Retriever, Labrador / Beagle","Black","Yes / Female","3811","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14553","A18904515","Romo","7/15/2011","Dog","Terrier, Yorkshire","Silver / Tan","Yes / Male","4798","Expired","4/27/2016 1:00:00 AM","Dog License S/N","National Capital Area Spay and Neuter Center","$15.00","","6/30/2013","No","","","",""
"14556","A18905065","Princess","1/14/2010","Dog","Shepherd / Mix","Blond","Yes / Female","4164","Expired","4/27/2016 1:00:00 AM","Dog License S/N","Washington Humane Society","$15.00","","6/30/2013","No","","","",""
"14559","A18675487","Delilah","12/6/2010","Dog","Doberman Pinscher","White","Yes / Female","5824","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14562","A18887618","Seamus","3/11/2012","Dog","Retriever, Labrador / Mix","Black","Yes / Male","1687","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14565","A19003301","Frieda","","Dog","Bouvier des Flandres","Black / Grey","Yes / Female","0030","Inactive","3/26/2014 12:25:53 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14568","A19031145","Kuba","1/27/2012","Dog","Retriever, Labrador / Poodle, Standard","Golden","Yes / Male","4128","Expired","4/27/2016 1:00:00 AM","Dog License S/N","Washington Humane Society","$15.00","","6/30/2013","No","","","",""
"14571","A19036661","Stanley","1/28/2009","Dog","Terrier, Fox, Toy","Tan / White","Yes / Male","0701","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14574","A19086444","Crosby","2/5/2006","Dog","Coonhound, Redbone / Mix","Red","Yes / Male","0763","Inactive","1/14/2014 4:27:33 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14577","A19068545","Lindsey Lamb","8/1/2011","Dog","Terrier, Pit Bull","White / Black","Yes / Female","0735","Inactive","4/12/2014 2:10:18 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14580","A19086197","Zorba","1/9/2007","Dog","Retriever, Golden / Mix","Golden","Yes / Female","0751","Inactive","1/29/2014 10:47:16 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14583","A19091491","Graycee","","Dog","Greyhound / Mix","Grey","Yes / Female","0036","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14586","A19094636","Wendell","9/12/2004","Dog","Hound / Mix","Red","Yes / Male","0068","Inactive","4/9/2014 4:04:07 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14589","A19115774","Fenway","12/14/2004","Dog","Terrier, Boston","Black / White","Yes / Female","0810","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14592","A19115860","Brixen","2/8/2007","Dog","German Shepherd","Red / Black","Yes / Male","0813","Inactive","2/10/2014 10:28:37 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14595","A19111616","Max","2/8/2005","Dog","Chihuahua, Long Coat / Mix","White / Brown","Yes / Male","0649","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14598","A19112533","Brandon","10/1/1998","Dog","Chinese Shar-Pei / Mix","Black","Yes / Male","0663","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14601","A19127206","Shama","","Dog","Rottweiler / Mix","Blond / Brown","Yes / Female","0902","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14604","A19127460","Millie","2/7/2010","Dog","Poodle, Toy","Grey","Yes / Female","0931","Inactive","4/12/2014 8:38:39 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14607","A19126555","Maragret","5/1/2005","Dog","Catahoula Leopard dog / Mix","Black / White","Yes / Female","0822","Inactive","12/5/2014 4:46:46 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14610","A19127909","Mickey","9/13/1998","Dog","Xoloitzcuintli / Mix","Tan / White","Yes / Male","0950","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14613","A19129414","Max","3/15/1999","Dog","Terrier / Mix","Black / White","Yes / Male","0996","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14616","A19131754","Sopie","","Dog","Pointer / Mix","Black / White","No / Female","1011","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14619","A19131804","Radar","2/8/2008","Dog","German Shepherd / Mix","Black / Tan","Yes / Female","1012","Inactive","4/15/2014 12:15:33 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14622","A19134843","Miles","","Dog","Beagle / Mix","Brown / Black","Yes / Female","1019","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14625","A19095236","Molly","2/7/2010","Dog","Terrier, Yorkshire / Poodle, Toy","Black / Tan","Yes / Female","0139","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14628","A19095672","Maya","2/24/2014","Dog","Chihuahua, Short Coat / Mix","Black / Tan","Yes / Female","0161","Inactive","3/31/2014 12:53:01 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14631","A19090106","Charlie","2/2/2008","Dog","Spaniel, Cavalier King Charles / Mix","Tan / White","No / Male","0007","Inactive","2/11/2014 11:18:29 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14634","A19091560","Patrick","2/5/2010","Dog","Beagle","Black / Brown","Yes / Male","0042","Inactive","4/14/2014 12:11:48 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14637","A19097976","Jax","2/6/2008","Dog","Terrier, Japanese / Mix","White / Brown","Yes / Male","0390","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14640","A19095203","Tucker","","Dog","Poodle, Standard / Mix","Black","Yes / Female","0137","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14643","A19097812","Chichi","1/5/2010","Dog","Terrier, Rat / Mix","Black / White","Yes / Female","0386","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14646","A19103474","Pepe","","Dog","Chihuahua, Short Coat / Mix","Black / White","Yes / Male","0605","Inactive","1/14/2014 4:30:41 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14649","A19110980","Clarice","2/3/2008","Dog","Beagle / Mix","Brown / White","Yes / Female","0637","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14652","A19111780","Zoppo","2/8/2004","Dog","Greyhound / Mix","Blue","Yes / Male","0653","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14655","A19142617","Geoffrey","","Dog","Terrier, Bull / Mix","White / Brindle","Yes / Male","1113","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14658","A19142818","Shandy","1/1/2008","Dog","Alaskan Malamute / Mix","Grey","Yes / Female","1118","Inactive","4/1/2014 11:39:27 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14661","A19145743","Talia","8/23/2007","Dog","Retriever, Golden / Poodle, Standard","Golden","Yes / Female","1163","Inactive","7/22/2013 10:40:56 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14664","A19131704","Maggie","11/1/2003","Dog","Retriever, Labrador / Mix","Black","Yes / Female","1010","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14667","A19146026","Mattie","","Dog","Terrier, Airedale / Mix","Brown / Black","No / Female","1169","Inactive","2/11/2014 11:05:59 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14670","A18681836","Dakota","","Dog","Setter, English","Black / White","Yes / Male","0499","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14673","A18683658","Layla","12/7/2006","Dog","Retriever, Golden","Red","Yes / Female","5805","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14676","A18693904","Esperanza","2/10/2012","Dog","Boxer / Rhodesian Ridgeback","Red / Brown","No / Female","3868","Inactive","2/10/2014 11:31:56 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14679","A18694839","Woodley","3/10/2012","Dog","Retriever, Golden / Poodle, Standard","Golden","Yes / Female","5807","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14682","A18696194","Gabe","12/10/2009","Dog","Retriever, Labrador","Yellow","Yes / Male","5811","Inactive","1/27/2014 11:12:36 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14685","A18701492","Pippi","12/11/2011","Dog","Spaniel, English Cocker / Poodle, Miniature","Rust","Yes / Female","0509","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","","","",""
"14688","A18708811","Daisy","","Dog","Beagle / Mix","Yellow","Yes / Female","0576","Inactive","1/17/2014 11:38:08 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
